"Kod";"Nazwa";"Rozwody i separacje";"Lokalizacja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2020";645;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2021";655;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2022";;"-";"n";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"1999";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2000";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2001";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2002";4,4;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2003";4,8;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2004";6,6;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2005";10,7;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2006";11,6;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2007";9,1;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2008";9,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2009";9,9;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2010";9,2;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2011";13,7;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2012";13,0;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2013";10,7;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2014";11,9;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2015";13,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2016";13,0;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2017";12,2;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2018";12,2;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2019";12,8;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2020";8,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2021";8,6;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody na 10 tys. ludności";"ogółem";"2022";;"-";"n";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"1999";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2000";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2001";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2002";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2003";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2004";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2005";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2006";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2007";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2008";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2009";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2010";29;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2011";58;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2012";36;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2013";30;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2014";24;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2015";29;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2016";25;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2017";29;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2018";22;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2019";21;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2020";15;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2021";5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje";"ogółem";"2022";;"-";"n";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"1999";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2000";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2001";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2002";21,00;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2003";34,00;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2004";37,00;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2005";178,00;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2006";149,00;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2007";66,00;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2008";45,00;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2009";36,00;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2010";0,42;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2011";0,83;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2012";0,51;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2013";0,43;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2014";0,34;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2015";0,41;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2016";0,35;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2017";0,40;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2018";0,30;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2019";0,29;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2020";0,20;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2021";0,07;"-";"";
011212000000;"PODREGION KRAKOWSKI";"separacje na 10 tys. ludności";"ogółem";"2022";;"-";"n";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"1999";1147;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2000";1105;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2001";1132;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2002";1042;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2003";1147;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2004";1392;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2005";1788;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2006";2027;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2007";1630;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2008";1658;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2009";1594;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2010";1165;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2011";1852;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2012";1664;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2013";1204;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2014";1410;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2015";1543;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2016";1430;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2017";1315;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2018";1367;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2019";1443;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2020";1399;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2021";1734;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody";"ogółem";"2022";;"-";"n";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"1999";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2000";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2001";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2002";14,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2003";15,7;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2004";19,0;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2005";24,4;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2006";27,6;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2007";22,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2008";22,6;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2009";21,7;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2010";15,4;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2011";24,4;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2012";21,9;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2013";15,9;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2014";18,6;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2015";20,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2016";18,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2017";17,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2018";17,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2019";18,6;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2020";17,5;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2021";21,6;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"rozwody na 10 tys. ludności";"ogółem";"2022";;"-";"n";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"1999";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2000";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2001";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2002";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2003";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2004";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2005";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2006";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2007";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2008";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2009";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2010";62;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2011";69;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2012";63;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2013";39;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2014";35;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2015";48;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2016";40;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2017";32;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2018";31;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2019";31;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2020";31;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2021";21;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje";"ogółem";"2022";;"-";"n";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"1999";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2000";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2001";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2002";63,00;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2003";79,00;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2004";111,00;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2005";271,00;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2006";172,00;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2007";93,00;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2008";72,00;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2009";67,00;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2010";0,82;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2011";0,91;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2012";0,83;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2013";0,51;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2014";0,46;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2015";0,63;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2016";0,52;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2017";0,42;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2018";0,40;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2019";0,40;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2020";0,39;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2021";0,26;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"separacje na 10 tys. ludności";"ogółem";"2022";;"-";"n";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"1999";190;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2000";193;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2001";213;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2002";226;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2003";253;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2004";343;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2005";410;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2006";432;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2007";414;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2008";418;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2009";345;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2010";366;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2011";345;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2012";511;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2013";453;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2014";478;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2015";502;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2016";475;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2017";482;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2018";497;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2019";517;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2020";431;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2021";598;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody";"ogółem";"2022";;"-";"n";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"1999";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2000";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2001";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2002";4,5;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2003";5,0;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2004";6,7;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2005";8,0;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2006";8,4;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2007";8,0;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2008";8,1;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2009";6,6;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2010";6,9;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2011";6,5;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2012";9,6;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2013";8,5;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2014";9,0;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2015";9,4;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2016";8,9;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2017";9,0;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2018";9,2;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2019";9,6;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2020";8,1;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2021";11,2;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"rozwody na 10 tys. ludności";"ogółem";"2022";;"-";"n";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"1999";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2000";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2001";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2002";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2003";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2004";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2005";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2006";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2007";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2008";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2009";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2010";72;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2011";49;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2012";73;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2013";47;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2014";34;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2015";36;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2016";30;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2017";20;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2018";7;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2019";20;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2020";8;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2021";16;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje";"ogółem";"2022";;"-";"n";
011212200000;"PODREGION NOWOSĄDECKI";"separacje na 10 tys. ludności";"ogółem";"1999";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje na 10 tys. ludności";"ogółem";"2000";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje na 10 tys. ludności";"ogółem";"2001";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje na 10 tys. ludności";"ogółem";"2002";35,00;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"separacje na 10 tys. ludności";"ogółem";"2003";45,00;"-";"";
